trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
179,False,"{'a': 0.1, 'e': 0.1049999999999992}",35,19,30.38665148789778,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.1, 'e': 0.0999999999999992}",20,12,13.484284920915961,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.1, 'e': 0.0949999999999992}",25,10,23.31572122489144,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.1, 'e': 0.08999999999999919}",30,20,21.96312972528378,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.1, 'e': 0.08499999999999919}",25,17,16.361735846079142,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.1, 'e': 0.07999999999999918}",25,20,7.483492311356756,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.1, 'e': 0.07499999999999918}",25,19,6.040694419954538,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.1, 'e': 0.06999999999999917}",20,3,5.486174640577996,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
187,False,"{'a': 0.1, 'e': 0.06499999999999917}",20,15,10.486431666386984,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.1, 'e': 0.05999999999999917}",20,8,12.898744058441928,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.1, 'e': 0.054999999999999175}",20,11,18.09656413437608,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.1, 'e': 0.04999999999999918}",20,11,17.442292031527202,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.1, 'e': 0.04499999999999918}",25,11,-14.315616686272206,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 0.1, 'e': 0.03999999999999918}",20,13,12.672856926837564,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.1, 'e': 0.034999999999999185}",30,7,36.96762046136789,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.1, 'e': 0.029999999999999184}",25,11,29.171022377674063,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.1, 'e': 0.024999999999999183}",20,7,26.49607444262748,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.1, 'e': 0.01999999999999918}",30,20,20.695593838149954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
